Vehicle,Size,Pod,Segment
LEXUSUX 300E,225/50 R18,UNKNOWN POD,UNKNOWN SEGMENT
PEUGEOT5008 SUV,225/55 R18,UNKNOWN POD,UNKNOWN SEGMENT
VAUXHALLMOKKA-E,215/55 R18,UNKNOWN POD,UNKNOWN SEGMENT
HYUNDAIKONA ELECTRIC,215/55 R17,UNKNOWN POD,UNKNOWN SEGMENT
AUDIQ4 E-TRON,235/45 R21,UNKNOWN POD,UNKNOWN SEGMENT
HYUNDAIKONA ELECTRIC,235/45 R19,UNKNOWN POD,UNKNOWN SEGMENT
MITSUBISHI3000 GT,235/45 R17,UNKNOWN POD,UNKNOWN SEGMENT
CITROENE-DISPATCH,215/65 R16,UNKNOWN POD,UNKNOWN SEGMENT
LEXUSUX 300E,215/60 R17,UNKNOWN POD,UNKNOWN SEGMENT
AUDIQ4 E-TRON,255/40 R21,UNKNOWN POD,UNKNOWN SEGMENT
VOLVOEX90,275/45 R20,UNKNOWN POD,UNKNOWN SEGMENT
SUZUKIGSR750,180/55 R17,UNKNOWN POD,UNKNOWN SEGMENT
KIAPROCEED,225/40 R18,UNKNOWN POD,UNKNOWN SEGMENT
SUZUKIGSR750,120/70 R17,UNKNOWN POD,UNKNOWN SEGMENT
BMWF800GS,90/90 R21,UNKNOWN POD,UNKNOWN SEGMENT
BMWS1000XR,190/55 R17,UNKNOWN POD,UNKNOWN SEGMENT
CITROENCX2400,190/65 R390,UNKNOWN POD,UNKNOWN SEGMENT
KIAPROCEED,225/45 R17,UNKNOWN POD,UNKNOWN SEGMENT
VAUXHALLMOKKA-E,215/60 R17,UNKNOWN POD,UNKNOWN SEGMENT
AUDIQ4 E-TRON,255/45 R20,UNKNOWN POD,UNKNOWN SEGMENT
BMWF800GS,150/70 R17,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1200GS ADVENTURE,170/60 R17,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1200RS,180/55 R17,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1250GS,170/60 R17,UNKNOWN POD,UNKNOWN SEGMENT
CITROENE-BERLINGO,205/60 R16,UNKNOWN POD,UNKNOWN SEGMENT
KAWASAKIEN650,160/60 R17,UNKNOWN POD,UNKNOWN SEGMENT
AUDIQ4 E-TRON,235/50 R20,UNKNOWN POD,UNKNOWN SEGMENT
AUDIQ4 E-TRON,255/50 R19,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1200GS ADVENTURE,120/70 R19,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1200RS,120/70 R17,UNKNOWN POD,UNKNOWN SEGMENT
BMWR1250 GSA,120/70 R19,UNKNOWN POD,UNKNOWN SEGMENT
BMWS1000XR,120/70 R17,UNKNOWN POD,UNKNOWN SEGMENT
CITROENE-SPACETOURER,225/55 R17,UNKNOWN POD,UNKNOWN SEGMENT
